date,partially_cleaned_text,sentiment,cleaned_text
7/7/21,"We'll see how these work out in our family over time. I'm not sure that I am disciplined enough to make good use of them, although it might be a good technique for teaching my dog. They appear to be good for what they are, a very tiny, but healthy, reward. Right now I can visualize them being used as a reward for following commands, a training tool. I was surprised at how tiny these treats were. They seem to taste good enough, but they are miniscule! They are just a fraction longer than a small paperclip and about half as wide, maybe 1/4 as thick. My dog was a little annoyed, but took it when I gave it to him. That was yesterday. Today he came in excited to get his ""treat"", looked at it as if to say, ""You've GOT to be KIDDING!"" Then he took it and ate it. A little later I offered him another one. He put it on the floor and looked hopefully at his stash of larger treats, but when he didn't get one, he went back and took this one. I think these might be good for rewards for obeying commands. Treats? That's stretching it. They may also be good for my son's dog who rarely gets treats because she's overweight and would eat the whole entire refrigerator full of food if allowed. At least she would get a treat. Large treats take her 5 seconds. She'll probably inhale these, one second max. I like the fact that these are low-fat, with no added salt, no refined sugar, no artificial flavors, colors or preservatives. It says, ""Treats Baked With Natural Peanut Butter.""",1,see work family time sure disciplined enough make good use although might good technique teaching dog appear good tiny healthy reward right visualize used reward following commands training tool surprised tiny treats seem taste good enough miniscule fraction longer small paperclip half wide maybe thick dog little annoyed took gave yesterday today came excited get treat looked say got kidding took ate little later offered another one put floor looked hopefully stash larger treats get one went back took one think might good rewards obeying commands treats stretching may also good son dog rarely gets treats overweight would eat whole entire refrigerator full food allowed least would get treat large treats take seconds probably inhale one second max like fact low fat added salt refined sugar artificial flavors colors preservatives says treats baked natural peanut butter
15/7/21,"I am a mom of 3 kids. With my older two I had such a hard time finding a snack for them that didn't have so much sodium! When my 3rd came along, HappyFamily introduced HappyMunchies. I was so thankful to find a snack low in sodium and with a vegetable too! And to top it off, it is organic so I know it is free of pesticide residue and GMOs!",1,mom kids older two hard time finding snack much sodium rd came along happyfamily introduced happymunchies thankful find snack low sodium vegetable top organic know free pesticide residue gmos
11/7/21,"We love these baby food things in a little pouch. Sooooo much easier to feed to a baby or toddler on the go. Our son loves sucking the fruit out and we are pleased that it is both organic and healthy with nothing added - just fruit. For smaller ones, not good to let them handle it themselves, because they love to squeeze it, which gets things everywhere. But older ones can feed to themselves. I like the 3.17 size rather than the bigger one that Plum Organics has for some of the other flavors. It assures that he will eat all or most of it in one sitting rather than having to save some for later. You can also take this size on airplanes without having to have it tested for explosives - not the case with the bigger pouches. I also like that it is BPA free. If your little one likes them, ordering in bulk and with subscribe and save makes them much cheaper than at the store.",1,love baby food things little pouch sooooo much easier feed baby toddler go son loves sucking fruit pleased organic healthy nothing added fruit smaller ones good let handle love squeeze gets things everywhere older ones feed like size rather bigger one plum organics flavors assures eat one sitting rather save later also take size airplanes without tested explosives case bigger pouches also like bpa free little one likes ordering bulk subscribe save makes much cheaper store
7/10/21,"I love VitaMuffins, but my supermarket sells one box of 4 muffins for $6.29. Instead I bought the mix, 3 boxes for $16.00, and each box makes 12 muffins. Instead of $1.62 per muffin, the mix only requires water & eggs and works out to about 48 cents per muffin, and very easy to make. That's a great deal.",1,love vitamuffins supermarket sells one box muffins instead bought mix boxes box makes muffins instead per muffin mix requires water eggs works cents per muffin easy make great deal
6/7/21,"I generally like vitalicious products. The corn muffin, well, for 100 calories it's not bad. But if you are expecting anything like the sugar/fat laden junk that your local bakery sells, look elsewhere. this is like a healthy makeover that doesn't quite cut it, but they're not bad. For the same amount of calories, the chocolate one is more of an indulgence, but this one is good for a bland breakfast treat, especially baked fresh. My kids are happy to get any extra snacks, so they approve...i send with them to school for a midmorning snack. im glad they get fuel and vitamins.",1,generally like vitalicious products corn muffin well calories bad expecting anything like sugar fat laden junk local bakery sells look elsewhere like healthy makeover quite cut bad amount calories chocolate one indulgence one good bland breakfast treat especially baked fresh kids happy get extra snacks approve send school midmorning snack glad get fuel vitamins
18/6/21,"My dog had been prone to ear infections and did a lot of paw chewing when his vet recommended changing his diet because his symptoms may be due to a food allergy. She specifically recommended the salmon and rice formula. Unfortunately, my dog hated the salmon and rice and it smelt extremely fishy. I tried the lamb and rice formula and he likes it much better. I've heard numerous good things about Wellness from my dog trainer, as well as other pet owners and pet store employees. My dog is adjusting to the new food well. However, I can tell he doesn't consider it the most tasty of choices- probably because it doesn't have the artificial flavoring in it. But I'd rather him eat something much healthier even if we have to sacrifice a little on the taste.",1,dog prone ear infections lot paw chewing vet recommended changing diet symptoms may due food allergy specifically recommended salmon rice formula unfortunately dog hated salmon rice smelt extremely fishy tried lamb rice formula likes much better heard numerous good things wellness dog trainer well pet owners pet store employees dog adjusting new food well however tell consider tasty choices probably artificial flavoring would rather eat something much healthier even sacrifice little taste
7/7/21, Length:: 1:00 Mins These cookies are so great! Watch our video to see how great they really are!!!,1,length mins cookies great watch video see great really
27/7/21,"Actually, Sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as I choose to do. My dog arrived with coccidia and giardia as a puppy. Through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life. After watching him get sicker on an aggressive course of antibiotics and prednisone for his Inflammatory Bowel Disease, I took him to a holistic veterinarian. Part of his treatment has been a homemade diet of Sojo's and meat plus no medications. I'm extremely pleased to report he has had no GI episodes in over 6 months and has reached a point where I consider him healthy. His coat is glossy and much fluffier than before he's finally at a good weight. I have before and after photos that show a dramatic improvement,much of which I credit to Sojo's. It does take some extra time to prepare as opposed to kibble, but I make 4 days worth at a time. This takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after. To be completely honest, I'm not thrilled about cooking for my dog but I am thrilled with the results. If I was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would be almost nothing.",1,actually sojo strongly recommends meat add mixes raw cooked choose dog arrived coccidia giardia puppy veterinary mismanagement never completely healthy first years life watching get sicker aggressive course antibiotics prednisone inflammatory bowel disease took holistic veterinarian part treatment homemade diet sojo meat plus medications extremely pleased report gi episodes months reached point consider healthy coat glossy much fluffier finally good weight photos show dramatic improvement much credit sojo take extra time prepare opposed kibble make days worth time takes minutes total includes time meat cooking cleaning completely honest thrilled cooking dog thrilled results able feed raw perhaps road vet gives ok preparation time would almost nothing
13/7/21,"It's also a routine baking ingredient. I put it into my bread along with sunflower seeds and organic wheat flour. I also put it into my smoothie, stir fry dishes....anything you can think of! Good price and really, it's a must have for a healthy diet!",1,also routine baking ingredient put bread along sunflower seeds organic wheat flour also put smoothie stir fry dishes anything think good price really must healthy diet
13/9/21,I have tryed the Almond Crunch and is delicious and healthy snack better than chips Try it you'll agree,1,tryed almond crunch delicious healthy snack better chips try agree
7/9/21,I use the powdered tea powder in my fruit smoothies. Provides you all the health benefits of green tea. Love the product and use both the plain and lemon ginger.,1,use powdered tea powder fruit smoothies provides health benefits green tea love product use plain lemon ginger
17/4/21,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste. Until now. The lemon and the ginger give this a very nice flavor. And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.",1,green tea good loaded antioxidants boosts metabolism yadda yadda yadda never quite warmed taste lemon ginger give nice flavor great add packet water bottle go without bother brewing
10/3/21,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants. This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too. The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.",1,eat lot cereal includes lot high fiber kinds oatmeal mini frosted shredded wheat raisin bran usually would eat needed lose lbs instances tried healthier options tried several kashi cereals appetizing plain one cardboard taste next tried grape nuts like horrendous yeast flavored cat food though closer kitty litter texture brings fiberplus antioxidants berry yogurt crunch certainly one better tasting high fiber cereals eaten like decent health bar broken apart cereal clusters yogurt really help even plain cereal decent enough yes g sugar per serving g fiber calorie parts make especially compare raisin bran frosted shredded wheat typically higher sugar calories yet lower dietary fiber antioxidants nice bonus bottom line add grocery list whenever sale price right
17/4/21,"I don't know why Science Diet is being referred to as junk food, as it is one of the higher quality foods on the market. A lot of the new organic and natural cat foods are not as healthy for pets as they are cracked up to be. But regardless, my veterinarian wanted me to put my 2 year old cat on a prescription food because of the high count of crystals in her urine. After some comparisons, Science Diet Mature Adult active longevity is the closest to the prescription food. Both my cats, the younger one and the older (10) are on this food and they seem to enjoy it. They both graze all day and are indoor cats so i try my best not to overfeed them. My younger cat has not had issues with her urine since she went on this food and we are all happy :)",1,know science diet referred junk food one higher quality foods market lot new organic natural cat foods healthy pets cracked regardless veterinarian wanted put year old cat prescription food high count crystals urine comparisons science diet mature adult active longevity closest prescription food cats younger one older food seem enjoy graze day indoor cats try best overfeed younger cat issues urine since went food happy
21/1/21,"These chocolate sandwich creme cookies by WhoNu? are every bit as delicious as similar brands but they are healthier for you. True, they have almost the same sugar, fat and carb amounts of the best-known name brand of these cookies; but as others have noted they also give you fiber with noticeably more vitamins and minerals than that other brand. This is a plus! They're really good as a snack and it's hard to stop at the serving size of just three cookies; but I guess I'm allowed an occasional guilty pleasure! As I write this they are a bit too expensive on this website; try looking for these cookies elsewhere unless you want the convenience of having them shipped to your door. Overall, these awesome chocolate sandwich creme cookies by WhoNu? are the best! I definitely recommend them as an excellent, healthier alternative to the major name brand of this type of cookie. I love `em! Enjoy!",1,chocolate sandwich creme cookies whonu every bit delicious similar brands healthier true almost sugar fat carb amounts best known name brand cookies others noted also give fiber noticeably vitamins minerals brand plus really good snack hard stop serving size three cookies guess allowed occasional guilty pleasure write bit expensive website try looking cookies elsewhere unless want convenience shipped door overall awesome chocolate sandwich creme cookies whonu best definitely recommend excellent healthier alternative major name brand type cookie love enjoy
30/1/21,We like this brownie mix and I usually use the low fat recipe on it. I also add chocolate chips or something else to it otherwise it ends up a little bit dry. We still buy this by the case.,1,like brownie mix usually use low fat recipe also add chocolate chips something else otherwise ends little bit dry still buy case
13/2/21,"These brownies are good, but the flax seed texture can be a real turn-off. To minimize it, I added a little whole wheat flour, splenda and cocoa - BIG improvement and my guests never complained (like they did the first time I made the brownies!).",1,brownies good flax seed texture real turn minimize added little whole wheat flour splenda cocoa big improvement guests never complained like first time made brownies
15/1/21,"We just got our first order a few days ago, and my 10 month old daughter loves them! They're just like the Gerber mini veggies, but much cheaper. Although they still cost a good bit, having a nutrient filled, easy to take anywhere travel snack is well worth it. My daughter doesn't have any teeth yet, and she hasn't had any problems eating them. They're light and fluffy, yet full of flavor.",1,got first order days ago month old daughter loves like gerber mini veggies much cheaper although still cost good bit nutrient filled easy take anywhere travel snack well worth daughter teeth yet problems eating light fluffy yet full flavor
6/3/21,"I am not sure why the 2 speciality stores in my area stopped carrying these as they were usually sold out. The cakes are 18 calories, crunchy and good--not like the cardboard taste of thicker rice cakes. Excellent as a base for PB&J, or to make an open face sandwich, or to use in pieces like a chip for dips, etc. Good price on the 12 pack with a 10 month expiration use date.",1,sure speciality stores area stopped carrying usually sold cakes calories crunchy good like cardboard taste thicker rice cakes excellent base pb j make open face sandwich use pieces like chip dips etc good price pack month expiration use date
8/6/21,I purchased these based on others recommendations. The rice cakes are delicious. Thinner than the usual rice cakes in the supermarkets. Dense...not full of air. I covered them with PB2 (those watching their weight can eat peanut butter for 45 calories a serving vs 190 for regular PB and it tastes exactly the same). I too highly recommend these rice cakes.,1,purchased based others recommendations rice cakes delicious thinner usual rice cakes supermarkets dense full air covered pb watching weight eat peanut butter calories serving vs regular pb tastes exactly highly recommend rice cakes
7/1/21,"Over 90% of dry dog food is very unhealthy and can not even get 1 or 2 stars out of 5 or 6. Diamond Naturals is a great food. I have 6 Afghans and I've spent many, many hours of research to find this out.",1,dry dog food unhealthy even get stars diamond naturals great food afghans spent many many hours research find
17/4/21,This is a very good snack that I feel great about offering my 10 month old. She can easily pick up the small pieces and definitely enjoys the apple cinnamon taste. My 5 year old loves them as well! I would definitely recommend these to anyone with small (or larger) kids. :),1,good snack feel great offering month old easily pick small pieces definitely enjoys apple cinnamon taste year old loves well would definitely recommend anyone small larger kids
10/3/21,"SOMETHING TO EAT IF YOU'RE STARVING - BUT PLEASE GIVE REAL FOOD TO HUNGRY PEOPLE, What's in Kellogg's Corn Flakes? ""Milled Corn, Sugar, Malt Flavoring, High Fructose Corn Syrup, Salt."" Yes, of course, it also has lots of yummy preservatives such as BHT and a few synthetic vitamins and iron in minute quantities. For nutrition you get basically 100% Carbs from lots of SUGAR and almost NO PROTEIN. Add skim milk, or you'll get saturated fat with a little protein from whole milk. For added nutrition, include a sliced banana and a capful of wheat germ. If you like Corn Flakes, that is your business and you should enjoy them, but this is not health food and it is a very poor value for more than 0.29 cents an ounce [$3.49 per package]. At this price, the inner package's failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish 12 ounces of this stuff. Why not use a vacuum-sealed container like Kretschmer's Wheat Germ to preserve freshness? After all, it's in the same price range! So if you are hungry, you are really eating the wrong stuff. SOMETHING TO EAT IF YOU ARE STARVING - BUT PLEASE GIVE REAL FOOD TO OTHER HUNGRY PEOPLE PLEASE!",0,something eat starving please give real food hungry people kellogg corn flakes milled corn sugar malt flavoring high fructose corn syrup salt yes course also lots yummy preservatives bht synthetic vitamins iron minute quantities nutrition get basically carbs lots sugar almost protein add skim milk get saturated fat little protein whole milk added nutrition include sliced banana capful wheat germ like corn flakes business enjoy health food poor value cents ounce per package price inner package failure maintain freshness even bigger drawback one thinks long may take finish ounces stuff use vacuum sealed container like kretschmer wheat germ preserve freshness price range hungry really eating wrong stuff something eat starving please give real food hungry people please
14/1/21,"Sardines are a useful item to stock for times when you want to add a bit of protein to your meal without breaking the bank. I like that they are lower in mercury than big fish are, and high in omega fats. The skinless ones are much better tasting in my opinion--regular sardines taste a bit too oily, fishy, and strong to me. They are fairly neutral with the absence of added oil or much salt and this makes them versatile--I sometimes add lemon and mayonnaise for a sandwich filling, mix with egg, oatmeal, onion and lemon and fry for a fish patty, or add them to a salad. Although I think these from Roland are very good, I liked the Seasons skinless sardines, which are also sold by Amazon, even better for flavor and texture.",1,sardines useful item stock times want add bit protein meal without breaking bank like lower mercury big fish high omega fats skinless ones much better tasting opinion regular sardines taste bit oily fishy strong fairly neutral absence added oil much salt makes versatile sometimes add lemon mayonnaise sandwich filling mix egg oatmeal onion lemon fry fish patty add salad although think roland good liked seasons skinless sardines also sold amazon even better flavor texture
24/5/21,"Stores are not carrying this product - thank goodness I can still get them!!!! Genisoy Soy Crisps, Deep Sea Salted, 3.85-Ounce Bags (Pack of 12) ",1,stores carrying product thank goodness still get genisoy soy crisps deep sea salted ounce bags pack
14/10/21,"I was really surprised when I tried this product because I found it to be a really light & fluffy batter. So don't think gluten free means flavorless, this Bisquick Pancake Mix will have you building up stacks of fluffy pancakes for your family. It's so nice that these are healthier for you, diabetic friendly and still manage to taste great too!",1,really surprised tried product found really light fluffy batter think gluten free means flavorless bisquick pancake mix building stacks fluffy pancakes family nice healthier diabetic friendly still manage taste great
7/2/21,I HAVE A 7 YEAR OLD SCOTTISH TERRIER WHO HAS SOME FOOD ALLERGIES. NO WHEAT FOR MY GIRL. :) THIS TREAT IS GREAT FOR SETTLEING AN UPSET STOMACH AND MY DOG LOOKS FORWARD TO HER CHARCOAL BONE TREATS.,1,year old scottish terrier food allergies wheat girl treat great settleing upset stomach dog looks forward charcoal bone treats
29/3/21,"I highly recommend these very tasty Kavli Thin Crispbreads. I wanted something different than just white bread for sandwiches. I hate whole wheat. I love rye. I saw these, noticed the ingredients couldn't get much simpler and gave them a try. Topped with cheese, or a sandwich spread or whatever you'd like they're very tasty. I feel as full after 2 or 3 of these, topped of course, as I did with just white bread. They're nice and thin so it isn't like biting into anything hard - just a nice crunch. The flavor isn't strong at all - it is very mild and nothing like a rye bread you might have purchased in the past. Then I noticed that they are only 20 calories per slice. What's not to love? They taste good, they're whole grain, they're super low in calories, it's no crunchier than a potato chip, and I feel satisfied while chewing and after eating them. Oh - and they keep forever in the cupboard. I definitely will be buying these for a long time. :)",1,highly recommend tasty kavli thin crispbreads wanted something different white bread sandwiches hate whole wheat love rye saw noticed ingredients could get much simpler gave try topped cheese sandwich spread whatever would like tasty feel full topped course white bread nice thin like biting anything hard nice crunch flavor strong mild nothing like rye bread might purchased past noticed calories per slice love taste good whole grain super low calories crunchier potato chip feel satisfied chewing eating oh keep forever cupboard definitely buying long time
17/4/21,I'm very pleased with this dog food. Haven't ordered anything else for my dogs since I bought this. My lab and my malti poo both eat it happily and I'm happy that it is healthy for them.,1,pleased dog food ordered anything else dogs since bought lab malti poo eat happily happy healthy
10/3/21,"I have started buying a lot of organic food over the past year, and it dawned on me that perhaps my dog should be eating more healthfully also. When I look at the list of ingredients on regular dog food, it is downright nauseating! I bought some of this Newman's Own and my dog loves it. She usually gobbles it up the minute I put it into the bowl.",1,started buying lot organic food past year dawned perhaps dog eating healthfully also look list ingredients regular dog food downright nauseating bought newman dog loves usually gobbles minute put bowl
10/7/21,"I signed up for the monthly subscription for this item. The price is great especially without having to pay shipping charges. I love the fact that I can manage the subscription by skipping a month or ordering it earlier than scheduled. Amazon has been excellent getting my shipments out on a timely manner. Newman's Own¬Æ Organics Adult Dog Food Chicken & Rice Formula, 7-Pound Bag Very pleased with all my orders from Amazon. Extremely pleased with their customer service! THANKS AMAZON!",1,signed monthly subscription item price great especially without pay shipping charges love fact manage subscription skipping month ordering earlier scheduled amazon excellent getting shipments timely manner newman æ organics adult dog food chicken rice formula pound bag pleased orders amazon extremely pleased customer service thanks amazon
27/1/21,"I feel better about feeding this product to my dogs. I was using another popular brand, but it contained a lot of fillers. One of my dogs is ""pickier,"" so he would prefer a meatier taste, but he does clean it up eventually.",1,feel better feeding product dogs using another popular brand contained lot fillers one dogs pickier would prefer meatier taste clean eventually
1/6/21,"Our family loves these tasty and healthy sesame honey almonds by Trader Joe's. You get the crunchy flavor of the sesame seeds combined with the subtle sweetness of the honey and almond flavoring. Wow--it's a great snack that you feel good while eating. It is my favorite of Trader Joe's almond snacks. Almonds are good for you and a handful of these in the morning with a fruit smoothie or as a snack at lunch is a great way to get protein, the healthy fat and the Vitamin E that almonds offer. It's a good idea to measure out 1/4-1/2 cup of these almonds or count the almonds out to stay in the calorie range you want to keep within. Nutritionist recommend having a small amount of almonds or walnuts each day for good fat and protein.",1,family loves tasty healthy sesame honey almonds trader joe get crunchy flavor sesame seeds combined subtle sweetness honey almond flavoring wow great snack feel good eating favorite trader joe almond snacks almonds good handful morning fruit smoothie snack lunch great way get protein healthy fat vitamin e almonds offer good idea measure cup almonds count almonds stay calorie range want keep within nutritionist recommend small amount almonds walnuts day good fat protein
20/8/21,"I love these cookies. I am on the paleo diet right now and these cookies are what I look forward too. I do like the taste of the tropical one the best. They all have different taste but if you want something that is grain free and gluten free then this is the right place. I expected the taste to be different and it is. Other reviewers seem to expect them to taste like oreos or chips ahoy. Of course not. When I eat them, I don't even feel bad about it because my body welcomes them. They don't make me crash either and feel like I ate junk food. It is a good indicator that these were made from all natural ingredients. I wish I had these cookies close to me. I'd buy them every single day!",1,love cookies paleo diet right cookies look forward like taste tropical one best different taste want something grain free gluten free right place expected taste different reviewers seem expect taste like oreos chips ahoy course eat even feel bad body welcomes make crash either feel like ate junk food good indicator made natural ingredients wish cookies close would buy every single day
14/8/21,"The flavor of the fruit enclosed is outstanding(bluberry) and if there is a drawback it is that the blanket that encloses the fruit is a bit thick (unlike this companys fig bars) and pastry textured.Flavored with cane syrup(not fruit juice).150 cal per bar,and low in fat and the carbs(29) not too bad considering the great taste.",1,flavor fruit enclosed outstanding bluberry drawback blanket encloses fruit bit thick unlike companys fig bars pastry textured flavored cane syrup fruit juice cal per bar low fat carbs bad considering great taste
